===================================================================================================================================================================
 page-07088b2f-f9d6-4c38-9c97-d7f98bc3d556   similarity=0.57995
===================================================================================================================================================================
 --- fp32 baseline                                                              | +++ variant                                                                   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
-壬午刃34男民國三十年十二月二十九日酉時辰運戊申年喪父                                                    |+壬午刃3男。民三十年十二月十九日酉時°辰建戊申年丧父。                                                   
                                                                                |                                                                               
-丑戌刑月支丑爲天煞胎元與年柱反吟②月支丑爲閑神透劫財爲忌偏財入月支爲墓，偏財在時支巳而巳午有化火之嫌年月①丙火雖生隆冬，但弱中轉旺，傷官透官，喜財通關，喜金 |+五成月文丑天煞元庚年注反。 ②月支丑焉神，透財忌偏財入月支焉墓，偏財在時支巳而已午有化火之嫌。年月①丙火避生隆冬但弱中转官透官，喜财通，喜金水。      
                                                                                |                                                                               
-始元戊                                                                            |+禄 養2皮寅                                                                        
                                                                                |                                                                               
-癸巳                                                                             |+1F                                                                            
                                                                                |                                                                               
-禄刃養墓2戊寅                                                                        |+3：民+三年+月+六已时戊通中文母先元后                                                          
                                                                                |                                                                               
-丙午                                                                             |+5入F文基月宣年+病后元=支②月柱正官坐正度俱属忌偏入文及H文属忌神正成未刑月支成焉天筑                                  
                                                                                |                                                                               
-丑贷                                                                             |+人字務實研究乙庚中通+酉 年伏瞳元遍财月支衰胎病                                                      
                                                                                |                                                                               
-3男民國二十三年十二月一十六巳時戊寅運中父母先后亡                                                      |+癸丑过帶                                                                          
-                                                                               |+                                                                              
-偏財入日支基刑月宮年十偏印胎元刑月支偏財月柱止官坐正官俱爲忌神偏財入月支及H支爲忌神丑戌未三刑月支戌爲天煞                          |+                                                                              
-                                                                               |+                                                                              
-官殺混雜取印化殺生身爲用                                                                   |+                                                                              
-                                                                               |+                                                                              
-八字務實研究8乙丑庚中戊子3男初通半两父母 年時伏吟胎元偏財刑月支衰胎病                                           |+                                                                              
-                                                                               |+                                                                              
-癸丑冠帶                                                                           |+                                                                              
-                                                                               |+                                                                              
-墓衰                                                                             |+                                                                              
                                                                                |                                                                               
 癸未                                                                             | 癸未                                                                            
                                                                                |                                                                               
-戊戌                                                                             |+戊成                                                                            
                                                                                |                                                                               
-辛卯                                                                             |+辛                                                                             
                                                                                |                                                                               
-長生1丁酉                                                                          |+長生                                                                            
                                                                                |                                                                               
-32男：民國四十年九月十日丑時。酉運喪父                                                           |+25男：民四十年九月十日丑時。酉連喪文                                                           
                                                                                |                                                                               
-年時伏吟，年于至時支爲羊刃初運辛酉爲忌神運正印引至年支爲刃。②月柱正官坐正官，俱爲忌神偏財入日支及時支爲忌神，月支爲亡神，外無其他神煞            |+年时伏吟，年于至時支局羊刃。初運辛酉焉忌神进。正印引至年支局。②月柱正官坐正官，俱盛忌神。偏财入日支及時支焉忌神，月支焉亡神，外無其他神煞         
                                                                                |                                                                               
-①正官格財官旺喜印化官生身                                                                  |+①正官格，财官旺，喜印化官生身°                                                              
                                                                                |                                                                               
-胎元：辛亥                                                                          |+胎元：亥                                                                          
                                                                                |                                                                               
-壬午                                                                             |+壬车                                                                            
                                                                                |                                                                               
-银生                                                                             |+長生                                                                            
                                                                                |                                                                               
-乙丑                                                                             |+度胎病                                                                           
                                                                                |                                                                               
-衰胎病                                                                            |+庚                                                                             
-                                                                               |+                                                                              
-庚申                                                                             |+                                                                              
-                                                                               |+                                                                              
-戊子                                                                             |+                                                                              
-                                                                               |+                                                                              
-3男初運辛西父母雙                                                                      |+                                                                              

===================================================================================================================================================================
 book_zh_GB12082006_extracted_page_8   similarity=0.76247
===================================================================================================================================================================
 --- fp32 baseline                                                              | +++ variant                                                                   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
-GB/T 16927.1—1997 高压试验技术 第一部分：—般试验要求(eqvIEC 60060-1:1989)GB/T 17623—1998 绝缘油中溶 |+GB/16927.1—1997压试验技术第—M分—般试验要水(eqv IEC 60060-1:1989)G1B/T 17623—1998绝缘中溶解气体组分含
                                                                                |                                                                               
-GB1208-2006                                                                    |+6B 1208—2006                                                                  
                                                                                |                                                                               
-## 3 术语和定义                                                                     |+## 3术语和定义                                                                     
                                                                                |                                                                               
-GB/T 2900.15—1997确立的以及下列术语和定义适用于本标准。                                           |+GB/T 2900.15—1997 确立的以及下列术函相定义透用于本标准。                                         
                                                                                |                                                                               
-## 3.1 通用定义                                                                    |+## 3.1通用定义                                                                    
                                                                                |                                                                               
 3.1.1                                                                          | 3.1.1                                                                         
                                                                                |                                                                               
-互感器 instrument transformer一种为测量仪器、仪表、继电器和其他类似电器供电的变压器。                         |+互成器instrument transformee一种为测盘仪器、仅表、统电盈和其业似电据供电的变压益。                          
                                                                                |                                                                               
-3.1.2                                                                          |+3. 1.2                                                                        
                                                                                |                                                                               
-电流互感器current transformecs一种在正常使用条件下其零的互感器。3.1.3一次绕组 primary流过被变换电流的3.1.4       |+电流互感器 corrent transf一种在正常使用条件下第的互感器。3.1.3—次绕组primary流过被变换电流的3. 1,4            
                                                                                |                                                                               
-二次绕组second finding给测量仪器、仅器和其他类似电参提供电速的绕电                                       |+二次统ndi BA 测  28仅C.8 和 成他电                                                     
                                                                                |                                                                               
 3.1.5                                                                          | 3.1.5                                                                         
                                                                                |                                                                               
-二次电路seconcircuit                                                               |+-次电secorfirco1互.器二次P,的外部电                                                     
                                                                                |                                                                               
-3.1.6                                                                          |+3, 1,6                                                                        
                                                                                |                                                                               
 3.1.7                                                                          | 3.1.7                                                                         
   ... 1 identical lines ...                                                    | ...
 3.1.8                                                                          | 3.1.8                                                                         
                                                                                |                                                                               
-额定二次电流ratedsydary cacren作为电流互感器性能基次电流值。                                        |+定=次电流 rnteary eac c作为电流互性能达电流值。                                               
                                                                                |                                                                               
-实际电流比actual transfornauon ratio实际一次电流与实标二次电流之比。                                |+际电流比actol transfor ma实际—次电流与实标二次电流。                                           
                                                                                |                                                                               
-3.1.9                                                                          |+3.1,9                                                                         
                                                                                |                                                                               
-额定电流比rated transformation ratio额定一次电流与额定二次电流之比。                                |+额定电流比 raled transformation rati0额定—次电流与额定二次电流之比。                              
                                                                                |                                                                               
-3.1.10                                                                         |+3. 1, 10                                                                      
                                                                                |                                                                               
-电流误差（比值差） current error (ratio error)                                          |+电流误验(比值基) cirrent error (ratio error)                                         
                                                                                |                                                                               
-互感器在测量电流时所产生的误差，它是由于实际电流比与额定电流比不相等造成的。电流误差的百分数用下式表示：                           |+5.感器在测量电流时所产生的误，它是由于实际电流比与额定电流比不相解造成的。电流误频的百分数用下式农示：                          
                                                                                |                                                                               
 \[                                                                             | \[                                                                            
-\text{电流误差}(\%)(K21,-10)×100                                                   |+\text{电流误}(\%) (1 =1)) X 100                                                  
 \]                                                                             | \]                                                                            

===================================================================================================================================================================
 page-3ecc67a1-9b19-4fb9-b74d-acbb73db5c53   similarity=0.81746
===================================================================================================================================================================
 --- fp32 baseline                                                              | +++ variant                                                                   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
-一所錄前賢校說皆指明其是非指明其非者皆予以證明而指明其是者亦多為之疏證                                            |+一所録前賢校說，皆指明其是非。指明其非者皆予以證明，而指明其是者亦多之疏證。                                        
                                                                                |                                                                               
-明疑難所在°一凡韓非子書中有問題之處本校注皆有交代其能作答者固詳加解說其不能作出答案者亦說                                  |+明疑所在°一、凡韓非子書中有問题之處，本校注皆有交代。其能作答者，固詳加解说，其不能作出答案者，亦                             
                                                                                |                                                                               
-一本校注以文義分章節所分章節與乾道本不同者皆予以說明以見乾道本之舊                                              |+一、本校注以文義分章節。所分章節舆乾道本不同者，皆予以说明，以見乾道本之。                                         
